Ord;singular;plural;;;;;Annotation;Anpassung notwendig;tags
potatis;-en;-ar;;;;;;;
kanelbulle;-en;;;;;;;;
papper;-et;papper;;;;;;yes;
läkare;-n;;;;;;;;
lärare;-n;;;;;;;;
alfabet;-et;;;;;;;;
ord;-et;;;;;;;;
hatt;-en;-ar;;;;;;;
rot;-en;;;;;;;;
boll;-en;-ar;;;;;;;
rutt;-en;-er;;;;;;;
båt;-en;-ar;;;;;;;
stjärna;-n;-or;;;;;;;
schack;-et;;;;;;;;
dusch;-en;-ar;;;;;;;
mission;-en;-er;;;;;;;
station;-en;-er;;;;;;;
bord;-et;;;;;;;;
barn;-et;;;;;;;;
fors;-en;;;;;;;;
stol;-en;-ar;;;;;;;
tal;-et;;;;;;;;
miljon (tal);-en;-er;;;;;;yes;tal
färg;-en;-er;;;;;;;
sats;-en;-er;;;;;;;
sida;-n;-or;;;;;;;
universitet;-et;;;;;;;;
yrke;-t;-n;;;;;;;
korv;-en;-ar;;;;;;;
äpple;-t;-n;;;;;;;frukt
kontor;-et;;;;;;;;
väninna;-n;-or;;;;;;;
kompis;-en;-ar;;;;;;;
pojke;-n;-ar;;;;;;;
flicka;-n;-or;;;;;;;
tjej;-en;-er;;;;;;;
kille;-n;-ar;;;;;;;
son;-en;;;;;;;;
dotter;-n;;;;;;;;
kvinna;-n;-or;;;;;;;
fru;-n;-ar;;;;;;;
läxa;-n;-or;;;;;;;
familj;-en;-er;;;;;;;
cykel;-n;-ar;;;;;;;
hund;-en;-ar;;;;;;;
träd;-et;;;;;;;;
hus;-et;;;;;;;;
låda;-n;-or;;;;;;;
komma (interpunktion);-t;-n;;;;;interpunktion;;
punkt;-en;-er;;;;;;;
ugn;-en;-ar;;;;;;;
syster;-n;-ar;;;;;;;
tidning;-en;-ar;;;;;;;
nät;-et;;;;;;;;
vän;-nen;-ner;;;;;;;
stad;-en/stan;;;;;;;;
katt;-en;-er;;;;;;;
sol;-en;-ar;;;;;;;
mamma;-n;-or;;;;;;;
pappa;-n;-or;;;;;;;
vecka;-n;-or;;;;;;;
deckare;-n;;;;;;;;
tid;-en;-er;;;;;;;
djur;-et;;;;;;;;
häst;-en;-ar;;;;;;;
väg;-en;-ar;;;;;;;
gata;-n;-or;;;;;;;
bio;-n;-grafer;;;;;;;
teater;-n;-ar;;;;;;;
affär;-en;-er;;;;;;;
man;-nen;;;;;;;;
soffa;-n;-or;;;;;;;
dag;-en;-ar;;;;;;;
väska;-n;-or;;;;;;;
månad;-en;-er;;;;;;;
kam;-men;-mar;;;;;;;
cerat;-et;;;;;;;;
mössa;-n;-or;;;;;;;
svensk;-en;-ar;;;;;;;marked
natur;-en;-er;;;;;;;
skägg;-et;;;;;;;;
ryggsäck;-en;;;;;;;;
pennfodral;-et;pennfodral;;;;;;;
blyertspenna;-n;-or;;;;;;;
kulspetspenna;-n;-or;;;;;;;
pappersnäsduk;-en;-ar;;;;;;;
